home,away,1,2,x,result
Chelsea,West Ham,14,55,100,1
Burnley,Liverpool,50,40,18,2
Crystal Palace,Southampton,38,35,22,2
Everton,Stoke,18,38,55,2
Leicester,Spurs,37,36,22,2
Man Utd,Newcastle,15,48,80,1
Sunderland,Hull,23,35,35,2
Swansea,Aston Villa,18,38,55,1
West Brom,Man City,84,47,15,2
Arsenal,QPR,13,64,135,1
Spurs,Man Utd,34,35,23,X
Southampton,Chelsea,48,39,18,X
Aston Villa,Sunderland,24,34,33,X
Hull,Leicester,24,34,33,2
Man City,Burnley,12,78,200,X
QPR,Crystal Palace,24,36,32,X
Stoke,West Brom,20,34,47,1
West Ham,Arsenal,38,37,21,2
Newcastle,Everton,30,34,27,1
Liverpool,Swansea,17,40,60,1
Stoke,Man Utd,43,37,20,X
Aston Villa,Crystal Palace,24,34,34,X
Hull,Everton,35,36,23,1
Liverpool,Leicester,14,54,100,X
Man City,Sunderland,12,90,170,1
Newcastle,Burnley,17,41,60,X
QPR,Swansea,31,36,25,X
Southampton,Arsenal,31,36,25,1
West Ham,West Brom,19,38,47,X
Spurs,Chelsea,44,40,19,1
Sunderland,Liverpool,45,36,20,2
Burnley,QPR,23,34,36,1
Chelsea,Newcastle,13,78,95,1
Everton,Man City,45,39,19,X
Leicester,Aston Villa,24,34,34,1
Swansea,West Ham,24,36,33,X
West Brom,Hull,21,34,43,1
Crystal Palace,Spurs,38,35,22,1
Arsenal,Stoke,15,48,80,1
Man Utd,Southampton,18,39,52,2
Aston Villa,Liverpool,48,37,19,2
Burnley,Crystal Palace,25,33,34,2
Leicester,Stoke,27,35,29,2
QPR,Man Utd,60,41,17,2
Swansea,Chelsea,72,42,16,2
Spurs,Sunderland,16,43,68,1
Newcastle,Southampton,37,36,22,2
West Ham,Hull,18,37,57,1
Man City,Arsenal,19,38,47,2
Everton,West Brom,19,37,49,X
Hull,Newcastle,27,34,30,2
Crystal Palace,Everton,30,35,26,2
Liverpool,West Ham,17,40,60,1
Man Utd,Leicester,13,58,160,1
Stoke,QPR,17,40,62,1
Sunderland,Burnley,22,35,38,1
West Brom,Spurs,32,35,25,2
Chelsea,Man City,21,36,40,X
Arsenal,Aston Villa,13,63,140,1
Southampton,Swansea,17,39,64,2
Spurs,Arsenal,35,38,22,1
Aston Villa,Chelsea,110,51,14,2
Leicester,Crystal Palace,25,34,33,2
Man City,Hull,12,80,200,X
QPR,Southampton,48,38,19,2
Swansea,Sunderland,19,36,51,X
Everton,Liverpool,34,35,24,X
Burnley,West Brom,27,33,31,X
Newcastle,Stoke,24,34,35,X
West Ham,Man Utd,40,37,21,X
Arsenal,Leicester,13,66,120,1
Hull,Aston Villa,23,34,37,1
Sunderland,QPR,21,35,42,2
Liverpool,Spurs,19,39,45,1
Chelsea,Everton,13,63,140,1
Man Utd,Burnley,13,60,150,1
Southampton,West Ham,19,39,45,X
Stoke,Man City,66,44,16,2
Crystal Palace,Newcastle,25,34,33,X
West Brom,Swansea,28,33,29,1
Aston Villa,Stoke,29,33,29,2
Chelsea,Burnley,12,80,220,X
Crystal Palace,Arsenal,54,38,18,2
Hull,QPR,22,33,41,1
Sunderland,West Brom,25,33,34,X
Swansea,Man Utd,45,36,20,1
Man City,Newcastle,13,60,150,1
Spurs,West Ham,19,38,48,X
Everton,Leicester,18,38,57,X
Southampton,Liverpool,27,34,30,2
West Ham,Crystal Palace,21,35,42,2
Burnley,Swansea,27,34,30,2
Man Utd,Sunderland,14,54,100,1
Newcastle,Aston Villa,20,35,46,1
Stoke,Hull,19,36,51,1
West Brom,Southampton,36,35,23,1
Liverpool,Man City,31,36,25,1
Arsenal,Everton,16,43,70,1
Aston Villa,West Brom,27,32,31,1
Hull,Sunderland,23,34,37,X
Southampton,Crystal Palace,17,40,63,1
Man City,Leicester,13,64,140,1
Newcastle,Man Utd,45,36,20,2
QPR,Arsenal,68,44,16,2
Stoke,Everton,26,35,30,1
Spurs,Swansea,18,40,50,1
West Ham,Chelsea,54,39,18,2
Liverpool,Burnley,14,52,110,1
QPR,Spurs,49,41,18,2
Crystal Palace,QPR,19,37,50,1
Arsenal,West Ham,15,47,85,1
Everton,Newcastle,19,37,49,1
Leicester,Hull,23,35,36,X
Sunderland,Aston Villa,23,34,37,2
West Brom,Stoke,24,33,35,1
Burnley,Man City,80,49,15,1
Chelsea,Southampton,15,45,86,X
Man Utd,Spurs,19,38,47,1
Swansea,Liverpool,40,36,21,2
Man City,West Brom,13,62,130,1
Aston Villa,Swansea,26,33,32,2
Newcastle,Arsenal,62,40,17,2
QPR,Everton,36,35,23,2
Southampton,Burnley,15,45,90,1
Stoke,Crystal Palace,22,34,39,2
Spurs,Leicester,16,45,65,1
West Ham,Sunderland,19,37,50,1
Liverpool,Man Utd,22,35,38,2
Hull,Chelsea,92,45,15,2
Arsenal,Liverpool,20,38,42,1
Everton,Southampton,28,32,30,1
Leicester,West Ham,24,36,33,1
Man Utd,Aston Villa,14,50,120,1
Swansea,Hull,20,34,48,1
West Brom,QPR,18,37,57,2
Chelsea,Stoke,13,60,155,1
Burnley,Spurs,42,35,21,X
Sunderland,Newcastle,26,32,33,1
Crystal Palace,Man City,62,40,17,1
Aston Villa,QPR,19,39,46,X
Swansea,Everton,26,34,31,X
Southampton,Hull,15,46,85,1
Spurs,Aston Villa,16,43,68,2
Sunderland,Crystal Palace,30,30,30,2
West Brom,Leicester,23,34,37,2
West Ham,Stoke,23,34,37,X
Burnley,Arsenal,70,43,16,2
QPR,Chelsea,100,54,14,2
Man Utd,Man City,26,35,30,1
Liverpool,Newcastle,15,46,86,1
Crystal Palace,West Brom,21,35,42,2
Everton,Burnley,17,40,60,1
